time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,speed,rpm_bl,rpm_br,rpm_fl,rpm_fr,steering,throttle
10.5,3.216053089,2.309944036,2.301719933,2.780085225,3.737509368,3.960699582,5.422833406,2.513062254,2.397204632,0.32617786,0.186743738,155,34,34,1,14,242,1602,1819,1565,1437,1580
11,2.550548038,2.667921706,2.730273454,3.190505212,2.002861704,2.131332092,3.240591453,2.796274534,3.630831228,5.507212647,3.574031505,-165,34,34,0,13,1851,2388,2184,1960,1384,1793
11.5,2.483773569,3.751575865,3.488955659,3.271827764,3.684226566,2.604267679,4.633346964,4.861528742,3.396117161,4.391975487,3.719603492,104,34,34,1,7,640,709,133,1959,1860,1078
12,2.931028209,2.533226182,2.050235626,3.357820506,2.509371211,2.578700128,1.524357685,0.484210862,0.114472686,0.713467851,3.690778685,16,34,34,1,42,2106,1638,1069,27,1658,1714
12.5,2.591400975,2.912225707,2.264239847,2.140722225,2.455009612,2.148712534,3.388538196,1.828741478,0.1501314,4.43380582,0.880236714,-57,34,34,0,41,1862,2337,160,1370,1090,1070
13,3.60086329,3.541854867,2.072674617,2.500752715,2.597747593,3.268164619,0.151549925,4.423306871,4.540740755,1.304289544,1.14464171,106,34,34,1,45,1677,1635,1993,790,1258,1850
13.5,3.494153032,3.968322934,3.537991221,2.171364985,2.682810238,3.000106317,5.072026325,2.178601107,5.3143136,3.066602668,5.169227741,-158,34,34,2,41,829,1855,1391,886,1640,1791
14,3.50110575,3.658204724,2.243873999,2.209881094,2.696876824,2.524195971,2.057411207,0.598997946,4.261851839,0.8854952,2.201102908,27,34,34,3,10,1051,1129,2300,1465,1064,1708
14.5,2.744228119,3.74349036,2.242201445,3.807795035,3.166146541,3.916261409,1.927961768,2.742895709,0.213427368,2.767150199,4.66179275,-144,34,34,0,5,1976,1944,541,620,1304,1483
15,3.637539762,2.39935238,2.648556697,3.546172688,2.099542723,3.806985523,3.280420962,0.826984457,4.729023827,4.119865076,5.652534954,100,34,34,3,4,1794,935,1506,1879,1410,1529
15.5,2.576069655,2.282867331,2.205530565,3.065463156,2.321144126,2.361214227,1.180738368,4.848851219,0.297466017,4.34657875,2.147172527,-164,34,34,0,3,464,1804,1794,1110,1671,1116
16,3.540504658,2.902803866,2.279927222,3.674316389,3.842355858,3.276275482,0.616526118,5.426319704,2.356913466,3.087340802,3.017248344,40,34,34,2,15,286,155,1748,945,1883,1642
16.5,3.660609471,3.884809737,2.889360844,3.94068938,3.850251837,2.076323237,5.171951242,3.727423183,4.892330325,2.79194282,5.257322254,117,34,34,1,33,1296,515,545,600,1495,1159
17,2.068140702,3.990370927,3.215856053,3.285939003,2.776299061,2.722702432,3.040307127,1.39778236,5.789609088,3.699498773,2.884014923,146,34,34,3,38,1504,2154,1556,694,1078,1664
17.5,3.820389868,2.100695669,3.042417438,2.079250493,3.234994832,3.248005676,4.511169241,5.01472972,2.449835591,3.237750756,3.727159835,-126,34,34,0,29,152,839,2005,998,1454,1606
18,2.686716178,3.272946743,3.496610095,2.872769915,2.608158197,3.66596663,4.831911918,4.950716679,2.851262248,5.080232332,2.260856054,-164,34,34,1,16,320,413,302,1202,1920,1643
18.5,3.553439096,3.309019595,3.500250374,2.941099776,3.593739993,2.760359624,0.642359568,5.884398275,3.742765522,3.650619488,4.250461929,31,34,34,1,29,1906,2305,1471,1070,1341,1172
19,2.318566556,2.241266278,2.526162471,3.031363277,3.920325592,3.027209321,1.647997566,1.454181485,1.085286786,5.619518734,2.973799329,-64,34,34,0,3,1633,191,1330,548,1275,1169
19.5,3.612206349,3.490389581,3.676094747,3.182523756,3.800106625,3.22130471,2.80625361,0.506293041,0.185645874,4.117468655,5.708747971,-48,34,34,2,36,285,465,2011,2205,1071,1425
20,2.849761664,3.977269137,2.634529816,2.083774127,3.133998206,3.525231575,3.225052828,2.830794643,4.97240624,1.13484396,4.693652743,63,34,34,2,10,55,2117,2111,1186,1850,1184
20.5,2.722760397,3.414291394,3.844289139,3.764084186,2.464406942,3.353989415,0.983446914,2.865813181,3.16711179,5.974800939,5.921275379,118,34,34,3,7,1690,619,424,840,1140,1471
21,3.467674791,3.514135633,3.179885516,3.71219119,3.177136393,2.756802703,2.600554738,2.001949319,0.806379636,1.596703987,4.682081124,73,34,34,0,6,1048,660,365,262,1249,1521
21.5,3.268195158,2.481228526,2.009021083,3.832232177,3.985207934,3.512195017,5.475582008,1.135545728,3.9009765,5.03622328,5.618747033,-179,34,34,0,1,258,633,365,2003,1247,1902
22,3.629967909,2.685507185,2.265016567,3.366708368,2.690340054,2.216048548,0.365361204,3.457659536,1.813477704,0.903998221,3.80434837,180,34,34,1,16,824,905,193,124,1161,1560
22.5,3.9773477,3.673630122,2.873089562,3.791578595,3.080201314,3.814784187,0.029805549,3.965348444,5.471095743,1.569820027,2.332402401,-48,34,34,3,6,1930,712,136,773,1154,1413
23,2.567397762,3.040687596,3.22764848,2.513882019,2.626806224,3.489618382,3.828192179,4.393664165,0.210015478,3.993942638,4.437218518,-96,34,34,3,35,1048,1292,465,2180,1827,1241
23.5,2.591062639,3.798348616,2.326218135,2.673669354,3.756529537,2.111628262,2.277653784,4.696740067,5.207112979,5.837620373,5.607011759,137,34,34,1,39,2384,1156,1574,1076,1928,1892
24,2.54526127,2.914658751,2.944634198,2.990180456,3.782145065,2.976762464,0.576171384,5.129716883,4.095717863,1.506704377,3.075131523,59,34,34,0,42,2,116,2226,2188,1344,1401
24.5,3.212527661,2.965099463,3.483467454,2.263596144,3.076800303,3.831924089,5.008081344,1.468862837,4.744890262,0.254865971,1.07351255,-69,34,34,0,35,1953,510,2202,760,1000,1993
25,3.650393619,3.034161567,3.332331757,3.822806892,2.022134064,2.479299163,0.312551714,4.893940858,1.598125556,5.292404703,0.655661518,-46,34,34,2,6,793,680,396,163,1993,1520
25.5,2.332755602,3.924378743,2.438633151,3.810343557,2.49532587,2.071089524,1.387123323,4.523514801,2.044132804,0.311164751,0.978516399,-43,34,34,1,3,1091,822,272,178,1405,1549
26,3.05657829,3.51913706,3.07500933,3.004330642,3.502313583,2.143815643,2.993110682,2.929270773,2.814449791,3.247170177,4.959930885,-164,34,34,3,29,232,891,586,197,1451,1429
26.5,3.004951351,2.816838919,2.166243356,3.404145451,3.581005275,2.914832727,3.155427773,0.580098569,1.385465046,4.96981134,2.296776151,13,34,34,3,34,2130,367,1481,2085,1114,1120
27,2.483589562,3.298152489,3.364623951,2.482105858,2.638565228,3.288479377,4.343900705,0.311227951,5.081248581,2.262124646,2.155453492,-129,34,34,2,9,1535,626,783,547,1709,1656
27.5,2.807851032,2.894041211,3.043577316,2.408251093,2.996643405,3.305913771,2.059896297,2.518218778,0.478808695,4.618920898,4.611136626,-52,34,34,0,1,1691,2292,1869,1407,1494,1117
28,3.518938522,3.853056112,2.172227999,3.832501365,2.70897791,2.379484919,3.613924112,5.490684929,0.980678158,3.641830228,5.931884481,21,34,34,2,35,2078,407,2246,2148,1880,1287
28.5,3.413501383,3.297464065,2.945145026,2.184063079,2.890420769,3.514376196,2.156320603,5.769710191,2.106601996,0.909016142,3.626071792,-99,34,34,0,45,1436,1951,271,1335,1757,1608
29,3.304992346,3.684259888,2.224374313,3.436702022,2.338064398,2.209145585,4.6279704,5.538173641,5.978831153,0.976332821,3.340944595,69,34,34,0,2,116,1257,1297,1335,1419,1032
29.5,2.287212789,2.314656959,2.196100924,3.22669791,2.765388884,2.011624893,5.989150276,2.594333699,4.18760321,4.098993932,5.250975944,29,34,34,2,18,2184,2109,616,2236,1768,1753
30,3.721327115,2.432018838,2.291889987,3.241836816,2.598393758,2.896843828,1.873081367,2.963951639,3.640282843,3.082664714,2.426157213,-107,34,34,2,30,1313,677,1034,81,1819,1976
30.5,3.691498201,3.172098541,3.295177738,2.952388282,3.050147467,2.095645983,0.16956642,0.079611037,3.369944867,4.798557991,5.117149635,177,34,34,1,21,1302,115,2102,1091,1677,1004
31,2.574102647,2.659318065,3.302727017,2.013731167,3.984239102,2.313219202,5.449676183,5.117553756,0.351536158,0.526948259,2.261818492,82,34,34,3,15,1234,279,789,852,1619,1226
31.5,3.356068203,3.507100286,3.281811912,3.371574411,2.316600643,3.253135974,5.268212694,0.979388743,5.246649327,3.218636244,4.640464916,98,34,34,3,40,1305,2261,1265,1865,1084,1352
32,2.642970604,3.058281275,3.225565863,2.288807734,3.205996586,3.618430267,2.933649161,4.720571606,4.988419515,4.191001343,0.026563578,73,34,34,2,18,1293,1101,1474,238,1436,1440
32.5,3.273557474,2.333603407,3.402600828,3.312936854,3.275601599,2.678593325,1.607323299,5.594893042,5.477516446,4.549811624,2.630361252,37,34,34,3,36,612,38,815,1392,1908,1655
33,2.375055499,2.723313676,3.309820292,2.111947342,2.514778945,2.888894949,1.770643934,2.222854857,2.945856627,4.820568766,5.471171732,-118,34,34,3,7,736,2012,1283,340,1036,1897
33.5,3.803804988,2.219837535,2.418793816,3.973659942,2.491635281,2.610144709,1.799560576,0.50365643,2.579274815,0.386587775,5.399818533,-120,34,34,3,24,659,1951,403,1771,1088,1742
34,2.47630698,2.789279012,3.048050938,3.219976691,3.746463909,3.377745267,5.914317178,0.439022155,5.825167573,4.418049266,2.333424396,-101,34,34,1,6,1844,1791,1407,544,1582,1751
34.5,2.059624468,3.889955097,2.646250121,3.441934905,3.462342641,3.741685256,1.783418658,5.470461175,5.392662874,3.50906363,0.112768712,-105,34,34,0,21,1550,166,2114,1055,1903,1149
35,2.89526269,3.334273473,2.233485471,3.194702366,2.386526155,3.961545558,0.989643504,2.742599408,2.685398196,0.526467332,0.26840724,-49,34,34,3,2,1039,1212,943,2036,1089,1859
35.5,3.480275086,2.543982951,2.838746979,2.612037568,3.762348853,3.831646014,2.354518986,0.047516055,2.924263162,3.177272073,4.478332763,52,34,34,0,40,71,1190,2226,1528,1337,1510
36,3.115444104,3.582396986,3.036841903,3.795772249,2.012077566,2.863765838,1.212323415,5.617467464,5.778231618,0.936233675,2.147388317,-76,34,34,2,29,641,1675,472,1558,1860,1196
36.5,3.864002229,2.142942839,2.788193704,2.923575633,3.006154071,2.786630564,4.859063476,1.27430438,0.555654438,0.375961885,2.835814135,40,34,34,2,18,1171,1636,68,1388,1726,1263
37,2.871392812,3.912559692,3.632130401,3.356955114,3.406319575,2.934978654,4.873965716,1.32855228,3.95874537,0.906942222,1.637825962,-62,34,34,0,42,2171,799,688,559,1578,1772
37.5,3.437932671,3.058451979,3.557925549,3.518238002,3.016555836,3.207582739,5.21357226,4.076135343,1.595431048,5.75339266,4.199180949,16,34,34,1,11,38,1646,39,1289,1266,1554
38,3.771949869,2.234505469,2.490973841,3.698640623,3.908760287,2.148424623,3.363635878,3.505095593,2.952073401,5.093702856,5.43203208,58,34,34,0,10,886,176,2301,2070,1163,1067
38.5,2.644575935,3.343219467,3.78742556,2.841544421,3.508612288,3.182397058,3.445567979,3.013133658,3.375876097,3.119501855,5.150923653,23,34,34,0,43,1278,1716,1917,1687,1363,1470
39,3.31668592,2.11861296,2.19496159,3.988293913,2.611950804,3.537220605,3.2285912,2.846961347,1.955436539,0.018946433,0.125021723,-78,34,34,2,22,610,2088,938,1997,1297,1682
39.5,2.789979361,3.293165301,3.502576436,3.661573674,2.251651117,3.975223216,4.631513821,1.142023721,2.722386175,0.681612513,5.39306365,131,34,34,3,43,1232,231,657,584,1076,1064
40,2.241354732,2.979654246,2.800103639,3.182544676,2.653573135,3.592221702,1.63371911,5.490785901,2.931404308,3.92578944,5.079212046,85,34,34,0,26,928,1214,345,737,1973,1960
40.5,3.213880455,2.371466434,2.789659702,3.527229508,2.540449197,3.81639355,1.492951728,5.116288197,5.785327168,2.457569784,2.804412121,-180,34,34,0,27,73,1787,1767,1747,1879,1013
41,2.869519957,2.08511163,2.852799691,3.609507973,2.495910348,2.014442961,1.767530272,3.538021624,4.335494915,0.51876469,1.461979622,-137,34,34,1,29,687,371,264,196,1368,1404
41.5,3.968926016,2.785490165,2.637112268,3.985255218,3.889449049,2.162587099,2.950405017,5.442623078,2.581818413,5.682762994,4.494965311,-1,34,34,2,44,1831,86,482,440,1845,1046
42,2.701199225,3.603940462,3.132211951,3.000328116,2.848577751,3.776347761,0.444150028,2.142494225,2.376932893,5.140872551,1.213535937,16,34,34,3,36,1426,1292,351,641,1497,1419
42.5,2.665729285,3.817372735,3.189862898,2.654937744,2.10100728,2.247845038,0.661009255,4.098974721,3.54747433,0.950847408,4.077575492,-138,34,34,0,32,170,1321,1299,1756,1745,1880
43,2.458120747,3.620772159,3.873404847,3.187004465,2.023057468,3.754819133,0.436573314,0.326741618,5.67613873,4.056484117,5.191169984,-144,34,34,2,45,1743,1188,2114,1647,1795,1805
43.5,2.299923768,3.115085646,3.227462873,2.781393315,3.983352625,3.408888911,1.685367522,3.089860865,3.008624301,3.333521463,3.568599201,-146,34,34,0,25,1535,1674,440,1123,1194,1219
44,2.56456777,3.850798976,2.048017761,2.435446021,2.772661078,2.799062385,0.514177871,5.009030956,5.95493941,5.984081417,1.689573755,150,34,34,0,43,73,1991,1374,513,1891,1749
44.5,3.451503197,2.784229616,2.720811283,2.479199049,2.515491235,2.909025293,0.084042999,3.486684105,5.695157457,2.763680147,5.527393798,168,34,34,0,37,2225,1929,972,1032,1133,1427
45,3.396416531,3.647853923,3.482177645,3.109132054,3.41509955,3.026403911,0.747817362,5.737850326,2.4344219,1.955964784,1.152684303,27,34,34,1,1,861,1069,2234,1901,1010,1002
45.5,3.016850077,2.759421232,3.587836788,3.578994132,3.343764531,2.944068281,3.810163498,3.415105142,1.380767013,4.452302503,0.527854618,119,34,34,0,14,572,1658,877,2364,1653,1527
46,2.942615833,3.19898773,2.880344429,2.854741548,2.854934997,3.097451372,3.622693977,4.773030714,2.657025356,3.738016194,0.026587244,169,34,34,1,19,516,576,354,137,1028,1007
46.5,3.158508625,2.877541655,2.839267159,2.296677194,3.491659609,2.514007079,2.053862619,5.856887278,0.524513659,3.594864899,5.904371863,-107,34,34,0,29,916,443,1087,1938,1261,1796
47,2.405841238,3.166268048,3.127941044,2.18773657,2.956398115,2.893394836,0.944068753,5.251003175,5.175991731,0.588179934,3.772079951,-157,34,34,2,7,127,2238,783,2052,1993,1342
47.5,3.801581873,3.136544645,3.606482413,2.349499343,3.297859654,3.243712586,4.904605765,3.128054543,0.647969469,4.282162082,3.600816151,37,34,34,3,3,2390,1725,611,2152,1905,1069
48,2.562170386,2.3778459,3.415083006,2.479960218,3.587404544,2.855522462,2.731609785,2.410423192,0.124368434,5.063667971,4.471162914,-180,34,34,1,43,2152,1600,1767,571,1163,1216
48.5,3.868739202,3.435195946,2.913142577,2.332711528,2.957950377,2.462608726,0.193254275,5.333594289,4.499406964,0.911205843,5.168661769,-26,34,34,0,20,686,1736,1324,114,1867,1171
49,2.871175906,2.516994931,2.582552573,2.46775889,3.743216707,2.156245521,0.876425588,4.519669552,4.293793798,5.904192692,1.776062668,-5,34,34,3,42,363,944,124,2193,1282,1325
49.5,2.91750213,3.264908157,3.476890185,2.222053384,2.027862139,2.831641961,1.715363764,4.449498427,4.033304693,4.197911272,2.285094433,-33,34,34,0,31,1956,1153,1311,316,1827,1242
50,3.582965747,3.067100918,3.150378814,2.516895724,3.569908323,3.909764362,3.805621791,2.30382481,3.440801967,4.602236682,0.005199823,-166,34,34,1,7,1056,1052,1745,1087,1028,1656
50.5,3.074726427,2.109724876,2.311931889,3.350692616,2.493439489,2.337710014,5.002350376,2.488982825,0.661206292,1.3357345,3.211832246,-131,34,34,0,6,121,1464,1600,698,1196,1369
51,3.664488693,2.288047123,3.070264829,3.066116164,2.573057001,3.96709122,1.277761793,5.34175506,3.450488266,0.485707142,0.365793502,-99,34,34,2,45,291,872,2364,2344,1589,1674
51.5,3.453747457,3.641313918,2.354797778,2.36338435,2.436265166,3.599752388,1.835600013,2.737799716,3.614329025,0.455797677,1.616538513,-114,34,34,1,12,550,2288,578,1260,1317,1883
52,2.815027987,3.58034046,2.52698943,3.767026348,2.160401325,2.902666254,1.819659256,2.095174292,3.178754243,1.819780409,3.899994874,121,34,34,0,6,347,309,236,737,1177,1982
52.5,2.042889545,2.089673377,3.598530206,2.643071579,2.390693914,2.838862379,2.014278133,5.084312688,2.158318028,5.590649069,2.346677244,-6,34,34,3,31,1187,1376,2270,694,1938,1285
53,3.829730234,3.559810878,2.065641664,3.9730167,3.582519564,3.139270616,2.041684833,0.384212529,3.862981908,5.235119687,5.362581981,133,34,34,1,2,811,2155,620,2333,1783,1372
53.5,2.574857452,3.699835281,3.806405002,2.312552547,2.121583289,2.472429626,0.619588103,5.656824658,0.579921104,0.898848862,1.09130004,0,34,34,1,40,1415,1184,1257,5,1413,1601
54,2.615781372,2.594896557,3.358617262,2.275699951,2.096460492,3.603590378,5.63954654,1.077012062,2.399835524,4.834555087,1.12583838,-37,34,34,2,36,522,911,68,1466,1779,1041
54.5,2.074765663,2.332307657,2.289106755,2.687320554,2.88883732,3.624762931,3.397614765,3.641249367,5.451031324,2.931282926,5.681770774,164,34,34,0,4,410,533,25,1588,1051,1425
55,2.114017687,2.571178227,2.947553203,3.380450712,3.899428917,2.756970367,0.248820531,0.138369469,0.330765981,0.977876614,5.357040652,104,34,34,3,3,1302,1855,1842,1092,1573,1037
55.5,2.540284832,2.945785553,3.166108939,3.01920027,2.947457359,3.700218863,1.14720846,0.093721154,2.254124668,4.412267683,0.690049986,145,34,34,1,43,1331,2172,1676,1644,1249,1619
56,3.090582767,2.022460682,2.612386439,2.430147471,3.260287523,3.865633733,0.987400637,5.826143259,2.548598917,3.227869312,3.719358185,-37,34,34,3,20,7,1764,1088,525,1410,1727
56.5,2.821123635,3.028855829,3.964535699,3.613462601,2.283295254,3.003290353,0.282288266,0.842979022,2.950046289,5.835809239,0.12846697,94,34,34,0,25,96,1747,1594,1519,1062,1708
57,3.684059449,2.271198676,3.664508613,3.252963261,3.339114966,2.70460258,2.233912768,5.688645772,3.288066859,4.869180534,1.514443781,-38,34,34,0,40,1393,1794,2299,663,1152,1426
57.5,2.904354457,2.668068209,2.529212701,3.869874128,3.521131206,3.557762442,4.590901917,1.257793999,4.553592341,1.314938417,4.937704134,150,34,34,1,12,1026,381,238,808,1576,1539
58,2.869089967,2.37723279,3.810867387,2.009424847,3.216565936,3.361756494,5.93294509,4.880042416,3.54536159,3.938925337,3.39383064,-50,34,34,0,44,823,2032,1715,1944,1403,1304
58.5,3.240423435,3.83112094,2.151769753,2.696712402,3.220274324,3.23714186,5.903087224,4.911776249,3.686184522,5.520495696,1.256302338,-5,34,34,1,31,1294,323,1060,423,1375,1716
59,2.151963381,2.013024522,3.50687766,3.301907217,3.183974127,2.54350065,4.251253215,3.845683054,1.418077232,3.521057035,2.358628059,-22,34,34,2,27,815,1092,721,2272,1045,1015
59.5,2.327371616,2.198318232,2.230894561,3.91734082,3.914603851,3.549736983,0.004096597,1.861970035,5.374610923,5.930652718,0.92295031,177,34,34,2,33,1502,1672,560,1250,1898,1084
60,3.102842126,2.250074494,2.900074869,2.555183608,3.907341267,2.887521729,2.883864341,5.446408815,0.10923825,1.908418266,1.733657691,170,34,34,0,22,1028,1076,618,1388,1005,1755
60.5,3.514232208,3.076770291,3.88304134,3.009437864,3.539354423,3.464942048,0.963548918,2.712951587,4.506240435,0.998120223,0.400348318,26,34,34,1,9,1065,2226,1172,811,1974,1102
61,3.638370044,2.530589348,3.316793606,3.62761975,3.636107308,2.950416429,4.014890913,0.84970361,1.217022687,2.611163005,0.951987127,165,34,34,1,22,2155,909,1915,515,1701,1887
61.5,2.34637136,3.334033826,3.861289873,3.107933383,2.206424484,3.104284621,5.643247171,2.645135118,3.141981903,1.40460584,2.171296411,-93,34,34,0,45,108,2027,1735,734,1859,1433
62,3.544372886,3.955721203,3.928509627,3.992595798,2.09540975,3.85495424,1.684054499,5.862676563,5.068106907,0.512690065,2.645898486,-87,34,34,0,19,2274,1299,1492,1612,1085,1699
62.5,3.362864505,2.317837134,2.127406876,2.109464094,2.19999758,3.334805708,5.852727996,5.26711916,0.498258309,0.604330016,1.733124809,38,34,34,0,13,1350,1614,2283,2089,1557,1097
63,3.953981729,3.348337046,2.333651773,3.229100863,2.83917595,3.071186391,4.332504989,0.842712159,0.645507934,2.747821599,1.724875917,84,34,34,2,1,1428,611,669,1965,1088,1367
63.5,3.765145565,3.260215133,3.902386854,2.557883165,3.755473537,2.789997396,3.206014904,0.862576309,1.672285157,4.858461124,0.865312682,167,34,34,0,23,1960,1056,943,1372,1130,1532
64,3.412810938,3.253422378,2.013426422,3.288615607,3.683658583,3.678899443,1.143297394,2.854205957,3.525974505,2.927138399,3.485942837,28,34,34,1,19,1422,1228,1600,1679,1957,1369
64.5,2.395122579,2.775920982,3.591327103,3.152102899,3.954809353,2.391692844,1.833211821,0.29701414,2.459311597,1.984627931,2.085755408,132,34,34,1,24,1426,1353,1035,1917,1109,1475
65,3.294205667,3.700629427,2.337813652,3.440868638,3.012772765,2.799711048,5.890391423,3.940131205,4.730214088,4.579012957,0.984300807,-146,34,34,3,25,1699,215,1576,1460,1574,1137
65.5,2.196168002,3.925873841,3.297337797,2.797943961,2.973250188,3.45218075,5.762340775,1.628195335,1.58990683,5.550471874,5.417248562,61,34,34,1,8,971,1851,951,2114,1018,1950
66,3.010420947,2.036650751,2.497259441,3.626587373,2.432831961,2.748605048,4.702298561,0.879539707,4.939317207,3.827156177,4.121672927,15,34,34,1,24,1680,26,196,1300,1524,1188
66.5,3.430646286,3.070606483,2.793629604,2.121292862,3.776204158,2.752287986,4.456772726,1.157908481,3.760491572,5.86393541,2.691269145,-116,34,34,3,30,1930,802,89,2166,1728,1437
67,2.925457015,2.287478455,3.034360964,2.436816819,2.559275005,3.797494724,1.819807515,0.943388396,3.872649741,0.872177736,4.719214775,137,34,34,3,39,980,1058,888,189,1425,1257
67.5,3.282544077,2.399872644,2.388587531,2.964948647,3.275872029,3.929699059,2.688814949,1.966051341,0.85170592,3.591823157,4.253536671,-55,34,34,2,34,838,498,287,1812,1841,1971
68,3.186921459,3.102567812,2.553907184,3.204040882,3.294551528,2.269491467,5.435026157,2.563784206,2.863063732,0.770909107,5.078713991,89,34,34,2,15,1463,1050,38,1497,1493,1159
68.5,3.418751595,3.154321223,2.509238981,2.185875336,2.335145148,3.748627951,4.560019014,2.807246759,4.298702522,4.316315205,0.428127324,-113,34,34,3,22,2326,112,1249,1870,1933,1259
69,2.239818498,2.165609302,2.593445938,2.689884556,3.554246325,3.14131053,1.660625017,4.919944216,5.894559959,0.627487755,1.446650698,-97,34,34,0,23,2069,1103,1853,2362,1551,1971
69.5,2.451332129,2.014007141,2.975024416,3.295503687,3.584299732,3.232304881,5.095320113,2.123339308,5.031701617,4.022904984,3.749727292,-66,34,34,3,9,767,1403,738,1108,1675,1616
70,2.930442436,3.580088292,2.491183587,2.331983833,2.409552409,3.532686045,5.361385866,2.076547636,2.904104893,2.809546568,1.652258803,102,34,34,3,44,1363,123,880,450,1170,1239
70.5,3.474573333,2.060303352,3.475825622,2.432645619,3.86193372,3.654055867,5.972915092,3.237674102,4.944230281,3.02273212,2.614156854,164,34,34,2,36,1116,1541,1869,2176,1601,1004
71,2.766520908,2.934039512,2.169420113,2.18028889,2.298902369,2.492948324,1.588201406,0.951279854,1.976543935,0.268431274,4.957621396,-39,34,34,0,28,335,1260,1914,399,1864,1270
71.5,2.130128325,2.419719686,2.038403862,2.588134134,2.219743208,2.572576397,1.955166886,0.726126047,4.106219506,4.297721833,4.004359338,70,34,34,1,12,1546,483,111,2293,1214,1578
